sample	status
BLAN-1-1-No	completed
BLAN-1-1-Rh	completed
BLAN-1-1-Ro	completed
BLAN-2-1-No	completed
BLAN-2-1-Rh	completed
BLAN-2-1-Ro	completed
BLAN-3-1-No	completed
BLAN-3-1-Rh	completed
BLAN-3-1-Ro	completed
BLAN-4-1-No	completed
BLAN-4-1-Rh	completed
BLAN-4-1-Ro	completed
CLBJ-40-1-No	completed
CLBJ-40-1-Rh	completed
CLBJ-40-1-Ro	completed
CLBJ-41-1-No	completed
CLBJ-41-1-Rh	completed
CLBJ-41-1-Ro	completed
CLBJ-42-1-No	completed
CLBJ-42-1-Rh	completed
CLBJ-42-1-Ro	completed
CLBJ-44-1-No	completed
CLBJ-44-1-Rh	completed
CLBJ-44-1-Ro	completed
CLBJ-46-1-No	completed
CLBJ-46-1-Rh	completed
CLBJ-46-1-Ro	completed
CLBJ-47-1-No	completed
CLBJ-47-1-Rh	completed
CLBJ-47-1-Ro	completed
CPER-1-No	completed
CPER-1-Rh	completed
CPER-1-Ro	completed
CPER-2-No	completed
CPER-2-Rh	completed
CPER-2-Ro	completed
CPER-3-1-No	completed
CPER-3-1-Rh	completed
CPER-3-1-Ro	completed
CPER-4-No	completed
CPER-4-Rh	completed
CPER-4-Ro	completed
CPER-5-1-No	completed
CPER-5-1-Rh	completed
CPER-5-1-Ro	completed
DCFS-1-2-No	completed
DCFS-1-2-Rh	completed
DCFS-1-2-Ro	completed
DCFS-2-2-No	completed
DCFS-2-2-Rh	completed
DCFS-2-2-Ro	completed
DCFS-3-2-No	completed
DCFS-3-2-Rh	completed
DCFS-3-2-Ro	completed
DCFS-4-No	completed
DCFS-4-Rh	completed
DCFS-4-Ro	completed
DCFS-5-1-No	completed
DCFS-5-1-Rh	completed
DCFS-5-1-Ro	completed
DCFS-6-1-No	completed
DCFS-6-1-Rh	completed
DCFS-6-1-Ro	completed
DCFS-7-1-No	completed
DCFS-7-1-Rh	completed
DCFS-7-1-Ro	completed
DCFS-8-1-No	completed
DCFS-8-1-Rh	completed
DCFS-8-1-Ro	completed
DEJU-10-1-No	completed
DEJU-10-1-Rh	completed
DEJU-10-1-Ro	completed
DEJU-11-1-No	completed
DEJU-11-1-Rh	completed
DEJU-11-1-Ro	completed
DEJU-12-1-No	completed
DEJU-12-1-Rh	completed
DEJU-12-1-Ro	completed
DEJU-13-1-No	completed
DEJU-13-1-Rh	completed
DEJU-13-1-Ro	completed
DEJU-16-1-No	completed
DEJU-16-1-Rh	completed
DEJU-16-1-Ro	completed
DEJU-17-1-No	completed
DEJU-17-1-Rh	completed
DEJU-17-1-Ro	completed
DEJU-18-1-No	completed
DEJU-18-1-Rh	completed
DEJU-18-1-Ro	completed
DEJU-19-1-No	completed
DEJU-19-1-Rh	completed
DEJU-19-1-Ro	completed
DEJU-20-1-No	completed
DEJU-20-1-Rh	completed
DEJU-20-1-Ro	completed
DEJU-21-1-No	completed
DEJU-21-1-Rh	completed
DEJU-21-1-Ro	completed
DEJU-22-1-No	completed
DEJU-22-1-Rh	completed
DEJU-22-1-Ro	completed
DEJU-23-1-No	completed
DEJU-23-1-Rh	completed
DEJU-23-1-Ro	completed
DEJU-24-1-No	completed
DEJU-24-1-Rh	completed
DEJU-24-1-Ro	completed
DEJU-25-No	completed
DEJU-25-Rh	completed
DEJU-25-Ro	completed
DEJU-26-No	completed
DEJU-26-Rh	completed
DEJU-27-No	completed
DEJU-27-Rh	completed
DEJU-27-Ro	completed
DEJU-28-2-No	completed
DEJU-28-2-Rh	completed
DEJU-28-2-Ro	completed
DEJU-29-1-No	completed
DEJU-29-1-Rh	completed
DEJU-29-1-Ro	completed
DEJU-54-No	completed
DEJU-54-Rh	completed
DEJU-54-Ro	completed
DEJU-55-No	completed
DEJU-55-Rh	completed
DEJU-55-Ro	completed
DEJU-56-Rh	completed
DEJU-56-Ro	completed
DEJU-57-No	completed
DEJU-57-Rh	completed
DEJU-57-Ro	completed
DEJU-58-No	completed
DEJU-58-Rh	completed
DEJU-58-Ro	completed
DEJU-59-No	completed
DEJU-59-Rh	completed
DEJU-59-Ro	completed
DEJU-60-No	completed
DEJU-60-Rh	completed
DEJU-60-Ro	completed
DEJU-63-No	completed
DEJU-63-Rh	completed
DEJU-63-Ro	completed
DEJU-9-1-No	completed
DEJU-9-1-Rh	completed
DEJU-9-1-Ro	completed
DELA-11-3-No	completed
DELA-11-3-Rh	completed
DELA-11-3-Ro	completed
DELA-12-2-No	completed
DELA-12-2-Rh	completed
DELA-12-2-Ro	completed
DELA-1-3-No	completed
DELA-1-3-Rh	completed
DELA-1-3-Ro	completed
DELA-16-No	completed
DELA-16-Rh	completed
DELA-16-Ro	completed
DELA-17-1-No	completed
DELA-17-1-Rh	completed
DELA-17-1-Ro	completed
DELA-19-1-No	completed
DELA-19-1-Rh	completed
DELA-19-1-Ro	completed
DELA-21-1-No	completed
DELA-21-1-Rh	completed
DELA-21-1-Ro	completed
DELA-22-1-No	completed
DELA-22-1-Rh	completed
DELA-22-1-Ro	completed
DELA-23-2-No	completed
DELA-23-2-Rh	completed
DELA-23-2-Ro	completed
DELA-26-3-No	completed
DELA-26-3-Rh	completed
DELA-26-3-Ro	completed
DELA-27-3-No	completed
DELA-27-3-Rh	completed
DELA-27-3-Ro	completed
DELA-28-No	completed
DELA-28-Rh	completed
DELA-28-Ro	completed
DELA-29-1-No	completed
DELA-29-1-Rh	completed
DELA-29-1-Ro	completed
DELA-30-2-No	completed
DELA-30-2-Rh	completed
DELA-30-2-Ro	completed
DELA-31-1-No	completed
DELA-31-1-Rh	completed
DELA-31-1-Ro	completed
DELA-32-1-No	completed
DELA-32-1-Rh	completed
DELA-32-1-Ro	completed
DELA-33-1-No	completed
DELA-33-1-Rh	completed
DELA-33-1-Ro	completed
DELA-3-3-No	completed
DELA-3-3-Rh	completed
DELA-3-3-Ro	completed
DELA-4-1-No	completed
DELA-4-1-Rh	completed
DELA-4-1-Ro	completed
DELA-5-1-No	completed
DELA-5-1-Rh	completed
DELA-5-1-Ro	completed
DELA-6-3-No	completed
DELA-6-3-Rh	completed
DELA-6-3-Ro	completed
DELA-7-3-No	completed
DELA-7-3-Rh	completed
DELA-7-3-Ro	completed
DSNY-84-2-No	completed
DSNY-84-2-Rh	completed
DSNY-84-2-Ro	completed
DSNY-85-1-No	completed
DSNY-85-1-Rh	completed
DSNY-85-1-Ro	completed
DSNY-86-1-No	completed
DSNY-86-1-Rh	completed
DSNY-86-1-Ro	completed
DSNY-87-1-No	completed
DSNY-87-1-Rh	completed
DSNY-87-1-Ro	completed
DSNY-88-1-No	completed
DSNY-88-1-Rh	completed
DSNY-88-1-Ro	completed
DSNY-91-1-No	completed
DSNY-91-1-Rh	completed
DSNY-91-1-Ro	completed
DSNY-92-1-No	completed
DSNY-92-1-Rh	completed
DSNY-92-1-Ro	completed
DSNY-96-2-No	completed
DSNY-96-2-Rh	completed
DSNY-96-2-Ro	completed
DSNY-98-4-No	completed
DSNY-98-4-Rh	completed
DSNY-98-4-Ro	completed
GRSM-1-No	completed
GRSM-1-Rh	completed
GRSM-1-Ro	completed
GRSM-3-No	completed
GRSM-3-Rh	completed
GRSM-3-Ro	completed
GRSM-4-2-No	completed
GRSM-4-2-Rh	completed
GRSM-4-2-Ro	completed
HEAL-10-2-No	completed
HEAL-1-2-No	completed
HEAL-1-2-Rh	completed
HEAL-1-2-Ro	completed
HEAL-2-1-No	completed
HEAL-2-1-Rh	completed
HEAL-2-1-Ro	completed
HEAL-3-1-No	completed
HEAL-3-1-Rh	completed
HEAL-3-1-Ro	completed
HEAL-4-1-No	completed
HEAL-4-1-Rh	completed
HEAL-4-1-Ro	completed
HEAL-5-2-No	completed
HEAL-5-2-Rh	completed
HEAL-5-2-Ro	completed
HEAL-6-1-No	completed
HEAL-6-1-Rh	completed
HEAL-6-1-Ro	completed
HEAL-7-1-No	completed
HEAL-7-1-Rh	completed
HEAL-7-1-Ro	completed
HEAL-8-1-No	completed
HEAL-8-1-Rh	completed
HEAL-8-1-Ro	completed
HEAL-9-1-No	completed
JERC-100-1-No	completed
JERC-100-1-Rh	completed
JERC-100-1-Ro	completed
JERC-102-1-No	completed
JERC-102-1-Rh	completed
JERC-102-1-Ro	completed
JERC-106-1-No	completed
JERC-106-1-Rh	completed
JERC-109-1-No	completed
JERC-109-1-Rh	completed
JERC-111-3-No	completed
JERC-111-3-Rh	completed
JERC-112-1-No	completed
JERC-112-1-Rh	completed
JERC-113-3-No	completed
JERC-113-3-Rh	completed
JERC-114-3-No	completed
JERC-114-3-Rh	completed
JERC-129-4-No	completed
JERC-129-4-Rh	completed
JERC-129-4-Ro	completed
JERC-131-No	completed
JERC-131-Rh	completed
JERC-131-Ro	completed
JERC-132-3-No	completed
JERC-132-3-Rh	completed
JERC-132-3-Ro	completed
JERC-134-3-No	completed
JERC-134-3-Rh	completed
JERC-134-3-Ro	completed
JERC-135-3-No	completed
JERC-135-3-Rh	completed
JERC-135-3-Ro	completed
JERC-136-No	completed
JERC-136-Rh	completed
JERC-136-Ro	completed
JERC-139-5-No	completed
JERC-139-5-Rh	completed
JERC-139-5-Ro	completed
JERC-140-No	completed
JERC-140-Rh	completed
JERC-140-Ro	completed
JERC-141-No	completed
JERC-141-Rh	completed
JERC-141-Ro	completed
JERC-142-No	completed
JERC-142-Rh	completed
JERC-143-No	completed
JERC-143-Rh	completed
JERC-143-Ro	completed
JERC-147-Rh	completed
JERC-147-Ro	completed
JERC-148-No	completed
JERC-148-Rh	completed
JERC-148-Ro	completed
JERC-149-No	completed
JERC-149-Rh	completed
JERC-149-Ro	completed
JERC-150-No	completed
JERC-150-Rh	completed
JERC-150-Ro	completed
JERC-151-No	completed
JERC-151-Rh	completed
JERC-151-Ro	completed
JERC-152-No	completed
JERC-152-Rh	completed
JERC-152-Ro	completed
JERC-153-No	completed
JERC-153-Rh	completed
JERC-176-5-No	completed
JERC-176-5-Rh	completed
JERC-176-5-Ro	completed
JERC-179-4-No	completed
JERC-179-4-Rh	completed
JERC-179-4-Ro	completed
JERC-180-5-No	completed
JERC-180-5-Rh	completed
JERC-180-5-Ro	completed
JERC-181-1-No	completed
JERC-181-1-Rh	completed
JERC-181-1-Ro	completed
JERC-183-3-No	completed
JERC-183-3-Rh	completed
JERC-183-3-Ro	completed
JERC-184-3-No	completed
JERC-184-3-Rh	completed
JERC-184-3-Ro	completed
JERC-185-3-No	completed
JERC-185-3-Rh	completed
JERC-185-3-Ro	completed
JERC-186-1-No	completed
JERC-186-1-Rh	completed
JERC-186-1-Ro	completed
JERC-187-1-No	completed
JERC-187-1-Rh	completed
JERC-187-1-Ro	completed
JERC-188-1-No	completed
JERC-188-1-Rh	completed
JERC-188-1-Ro	completed
JERC-192-1-No	completed
JERC-192-1-Rh	completed
JERC-192-1-Ro	completed
JERC-194-2-No	completed
JERC-194-2-Rh	completed
JERC-194-2-Ro	completed
JERC-195-2-No	completed
JERC-195-2-Rh	completed
JERC-195-2-Ro	completed
JERC-196-3-No	completed
JERC-196-3-Rh	completed
JERC-196-3-Ro	completed
JERC-197-1-No	completed
JERC-197-1-Ro	completed
JERC-198-No	completed
JERC-198-Ro	completed
JERC-199-No	completed
JERC-199-Rh	completed
JERC-199-Ro	completed
JERC-201-1-No	completed
JERC-201-1-Rh	completed
JERC-201-1-Ro	completed
JERC-202-1-No	completed
JERC-202-1-Rh	completed
JERC-202-1-Ro	completed
JERC-203-1-No	completed
JERC-203-1-Rh	completed
JERC-203-1-Ro	completed
JERC-204-1-No	completed
JERC-204-1-Rh	completed
JERC-204-1-Ro	completed
JERC-87-1-No	completed
JERC-87-1-Rh	completed
JERC-87-1-Ro	completed
JERC-88-1-No	completed
JERC-88-1-Rh	completed
JERC-88-1-Ro	completed
JERC-89-1-No	completed
JERC-89-1-Rh	completed
JERC-89-1-Ro	completed
JERC-90-1-No	completed
JERC-90-1-Rh	completed
JERC-90-1-Ro	completed
JERC-91-1-No	completed
JERC-91-1-Rh	completed
JERC-91-1-Ro	completed
JERC-93-1-No	completed
JERC-93-1-Rh	completed
JERC-93-1-Ro	completed
JERC-94-1-No	completed
JERC-94-1-Rh	completed
JERC-94-1-Ro	completed
JERC-CHNI-86-4-No	completed
JERC-CHNI-86-4-Rh	completed
JERC-CRJU-86-1-No	completed
JERC-CRJU-86-1-Rh	completed
JERC-CRJU-86-1-Ro	completed
KONA-1-1-No	completed
LAJA-10-1-No	completed
LAJA-10-1-Rh	completed
LAJA-10-1-Ro	completed
LAJA-11-3-No	completed
LAJA-11-3-Rh	completed
LAJA-11-3-Ro	completed
LAJA-1-1-No	completed
LAJA-1-1-Rh	completed
LAJA-1-1-Ro	completed
LAJA-12-1-No	completed
LAJA-12-1-Rh	completed
LAJA-12-1-Ro	completed
LAJA-1-2-No	completed
LAJA-1-2-Rh	completed
LAJA-1-2-Ro	completed
LAJA-13-3-No	completed
LAJA-13-3-Rh	completed
LAJA-13-3-Ro	completed
LAJA-1-3-No	completed
LAJA-1-3-Rh	completed
LAJA-1-3-Ro	completed
LAJA-14-1-No	completed
LAJA-14-1-Rh	completed
LAJA-14-1-Ro	completed
LAJA-15-1-No	completed
LAJA-15-1-Rh	completed
LAJA-15-1-Ro	completed
LAJA-16-2-No	completed
LAJA-16-2-Rh	completed
LAJA-16-2-Ro	completed
LAJA-17-1-No	completed
LAJA-17-1-Rh	completed
LAJA-17-1-Ro	completed
LAJA-18-1-No	completed
LAJA-18-1-Rh	completed
LAJA-18-1-Ro	completed
LAJA-19-2-No	completed
LAJA-19-2-Rh	completed
LAJA-19-2-Ro	completed
LAJA-20-1-Rh	completed
LAJA-21-1-No	completed
LAJA-2-1-No	completed
LAJA-2-1-Rh	completed
LAJA-2-1-Ro	completed
LAJA-2-2-No	completed
LAJA-2-2-Rh	completed
LAJA-2-2-Ro	completed
LAJA-2-3-No	completed
LAJA-2-3-Rh	completed
LAJA-2-3-Ro	completed
LAJA-24-2-No	completed
LAJA-24-2-Rh	completed
LAJA-24-2-Ro	completed
LAJA-25-1-No	completed
LAJA-25-1-Rh	completed
LAJA-25-1-Ro	completed
LAJA-26-1-No	completed
LAJA-26-1-Rh	completed
LAJA-26-1-Ro	completed
LAJA-3-1-No	completed
LAJA-3-1-Rh	completed
LAJA-3-1-Ro	completed
LAJA-3-2-No	completed
LAJA-3-2-Rh	completed
LAJA-3-2-Ro	completed
LAJA-3-3-No	completed
LAJA-3-3-Rh	completed
LAJA-3-3-Ro	completed
LAJA-4-1-No	completed
LAJA-4-1-Rh	completed
LAJA-4-1-Ro	completed
LAJA-5-1-No	completed
LAJA-5-1-Rh	completed
LAJA-5-1-Ro	completed
LAJA-6-1-No	completed
LAJA-6-1-Rh	completed
LAJA-6-1-Ro	completed
LAJA-7-1-No	completed
LAJA-7-1-Rh	completed
LAJA-7-1-Ro	completed
LAJA-8-2-No	completed
LAJA-8-2-Rh	completed
LAJA-8-2-Ro	completed
LAJA-9-1-No	completed
LAJA-9-1-Rh	completed
LAJA-9-1-Ro	completed
LENO-15-2-No	completed
LENO-15-2-Rh	completed
LENO-16-2-No	completed
LENO-16-2-Rh	completed
MLBS-2-1-No	completed
NIWO-1-No	completed
NIWO-1-Rh	completed
NIWO-1-Ro	completed
NIWO-2-No	completed
NIWO-2-Rh	completed
NIWO-2-Ro	completed
NOGP-1-1-No	completed
NOGP-1-1-Rh	completed
NOGP-1-1-Ro	completed
NOGP-2-1-No	completed
NOGP-2-1-Rh	completed
NOGP-2-1-Ro	completed
NOGP-3-2-No	completed
NOGP-3-2-Rh	completed
NOGP-3-2-Ro	completed
NOGP-4-1-No	completed
NOGP-4-1-Rh	completed
NOGP-4-1-Ro	completed
NOGP-5-2-No	completed
NOGP-5-2-Rh	completed
NOGP-5-2-Ro	completed
NOGP-6-3-No	completed
NOGP-6-3-Rh	completed
NOGP-6-3-Ro	completed
NOGP-7-2-No	completed
NOGP-7-2-Rh	completed
NOGP-7-2-Ro	completed
OAES-35-3-No	completed
OAES-35-3-Rh	completed
OAES-35-3-Ro	completed
OAES-36-2-No	completed
